Date : 2026-03-04 07:13:14
Directory : /Users/roryhill/Projects/Winnow64
Total : 1642 files,  378426 codes, 58604 comments, 69831 blanks, all 506861 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
+---------------+------------+------------+------------+------------+------------+
| C++           |      1,572 |    334,191 |     52,958 |     60,560 |    447,709 |
| C             |         26 |     23,008 |      3,870 |      8,759 |     35,637 |
| TypeScript    |          6 |     12,261 |          0 |          6 |     12,267 |
| Makefile      |          2 |      5,323 |         14 |        164 |      5,501 |
| HTML          |         12 |      2,417 |      1,434 |        125 |      3,976 |
| PostCSS       |          3 |        680 |        148 |        169 |        997 |
| Objective-C++ |          2 |        276 |        112 |         42 |        430 |
| JSON          |          8 |        234 |          0 |          0 |        234 |
| XML           |          4 |         16 |          0 |          0 |         16 |
| log           |          1 |         11 |          0 |          1 |         12 |
| Markdown      |          1 |          4 |          0 |          3 |          7 |
| Batch         |          2 |          2 |         66 |          0 |         68 |
| Shell Script  |          2 |          2 |          2 |          2 |          6 |
| YAML          |          1 |          1 |          0 |          0 |          1 |
+---------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                              | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                 |      1,642 |    378,426 |     58,604 |     69,831 |    506,861 |
| . (Files)                                                                                                                                                         |          3 |      2,071 |        270 |        503 |      2,844 |
| .xcode                                                                                                                                                            |         11 |        237 |          2 |          2 |        241 |
| .xcode/Winnow.build                                                                                                                                               |          3 |          3 |          2 |          2 |          7 |
| .xcode/Winnow.build/Debug                                                                                                                                         |          3 |          3 |          2 |          2 |          7 |
| .xcode/Winnow.build/Debug/Qt Preprocess.build                                                                                                                     |          2 |          2 |          2 |          2 |          6 |
| .xcode/Winnow.build/Debug/Winnow-97d0b524fb0fe6555b25b1ec40ae5095-VFS                                                                                             |          1 |          1 |          0 |          0 |          1 |
| .xcode/XCBuildData                                                                                                                                                |          8 |        234 |          0 |          0 |        234 |
| .xcode/XCBuildData/1d5c045832dc805a1e404bb7ee5c1012.xcbuilddata                                                                                                   |          2 |         58 |          0 |          0 |         58 |
| .xcode/XCBuildData/349fc0ab876335f35393b29d48d5eb69.xcbuilddata                                                                                                   |          2 |         59 |          0 |          0 |         59 |
| .xcode/XCBuildData/92414829d18c2aa4d1bdcac6efe9b5b0.xcbuilddata                                                                                                   |          2 |         58 |          0 |          0 |         58 |
| .xcode/XCBuildData/aafc811e76136234cf89138d5a48256d.xcbuilddata                                                                                                   |          2 |         59 |          0 |          0 |         59 |
| Cache                                                                                                                                                             |         23 |      4,900 |      1,746 |        912 |      7,558 |
| Datamodel                                                                                                                                                         |          8 |      5,238 |      1,688 |        775 |      7,701 |
| Dialogs                                                                                                                                                           |         54 |      7,524 |      1,751 |      1,241 |     10,516 |
| Docs                                                                                                                                                              |         16 |      2,434 |      1,433 |        122 |      3,989 |
| Docs (Files)                                                                                                                                                      |         12 |      2,418 |      1,433 |        122 |      3,973 |
| Docs/filtershelp.fld                                                                                                                                              |          2 |          8 |          0 |          0 |          8 |
| Docs/ingesthelp_files                                                                                                                                             |          2 |          8 |          0 |          0 |          8 |
| Effects                                                                                                                                                           |         10 |      6,568 |      2,111 |        994 |      9,673 |
| Embellish                                                                                                                                                         |          8 |      7,258 |      1,635 |        908 |      9,801 |
| Embellish (Files)                                                                                                                                                 |          6 |      1,830 |        646 |        312 |      2,788 |
| Embellish/Properties                                                                                                                                              |          2 |      5,428 |        989 |        596 |      7,013 |
| File                                                                                                                                                              |          8 |      2,259 |        680 |        435 |      3,374 |
| FocusStack                                                                                                                                                        |         33 |      7,670 |      1,794 |      1,991 |     11,455 |
| Image                                                                                                                                                             |         15 |      1,621 |        456 |        373 |      2,450 |
| ImageFormats                                                                                                                                                      |         45 |     13,257 |      7,306 |      2,168 |     22,731 |
| ImageFormats/Base                                                                                                                                                 |          2 |        267 |         46 |         49 |        362 |
| ImageFormats/Canon                                                                                                                                                |          4 |      1,263 |        176 |        172 |      1,611 |
| ImageFormats/Dng                                                                                                                                                  |          2 |        279 |         55 |         50 |        384 |
| ImageFormats/Fuji                                                                                                                                                 |          2 |        231 |         53 |         34 |        318 |
| ImageFormats/Heic                                                                                                                                                 |          4 |      1,884 |        731 |        614 |      3,229 |
| ImageFormats/Jpeg                                                                                                                                                 |          9 |      4,470 |      5,068 |        619 |     10,157 |
| ImageFormats/Nikon                                                                                                                                                |          2 |        986 |         73 |         43 |      1,102 |
| ImageFormats/Olympus                                                                                                                                              |          2 |        411 |         35 |         31 |        477 |
| ImageFormats/Panasonic                                                                                                                                            |          2 |        314 |         44 |         34 |        392 |
| ImageFormats/Png                                                                                                                                                  |          2 |         74 |          6 |         18 |         98 |
| ImageFormats/Sony                                                                                                                                                 |          2 |        505 |         42 |         40 |        587 |
| ImageFormats/Tiff                                                                                                                                                 |          8 |      2,302 |        925 |        384 |      3,611 |
| ImageFormats/Video                                                                                                                                                |          4 |        271 |         52 |         80 |        403 |
| ImageStack                                                                                                                                                        |         17 |      3,164 |        943 |        731 |      4,838 |
| Lcms2                                                                                                                                                             |         29 |     25,276 |      4,489 |      9,622 |     39,387 |
| Log                                                                                                                                                               |          4 |        269 |        105 |         50 |        424 |
| MacOS                                                                                                                                                             |          3 |         42 |         18 |         22 |         82 |
| Main                                                                                                                                                              |         35 |     14,121 |      5,002 |      2,589 |     21,712 |
| Metadata                                                                                                                                                          |         21 |      5,683 |      1,328 |        524 |      7,535 |
| PropertyEditor                                                                                                                                                    |          8 |      3,455 |        602 |        475 |      4,532 |
| ReleaseExtras                                                                                                                                                     |      1,203 |    235,410 |     21,111 |     42,984 |    299,505 |
| ReleaseExtras/Winnets                                                                                                                                             |      1,203 |    235,410 |     21,111 |     42,984 |    299,505 |
| ReleaseExtras/Winnets/Frameworks                                                                                                                                  |      1,203 |    235,410 |     21,111 |     42,984 |    299,505 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework                                                                                                                 |      1,203 |    235,410 |     21,111 |     42,984 |    299,505 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers                                                                                                         |        401 |     78,470 |      7,037 |     14,328 |     99,835 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers (Files)                                                                                                 |        228 |     49,498 |      3,546 |      9,853 |     62,897 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0                                                                                                   |        173 |     28,972 |      3,491 |      4,475 |     36,938 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore                                                                                            |        173 |     28,972 |      3,491 |      4,475 |     36,938 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Headers/6.4.0/QtCore/private                                                                                    |        173 |     28,972 |      3,491 |      4,475 |     36,938 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions                                                                                                        |        802 |    156,940 |     14,074 |     28,656 |    199,670 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A                                                                                                      |        401 |     78,470 |      7,037 |     14,328 |     99,835 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers                                                                                              |        401 |     78,470 |      7,037 |     14,328 |     99,835 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers (Files)                                                                                      |        228 |     49,498 |      3,546 |      9,853 |     62,897 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0                                                                                        |        173 |     28,972 |      3,491 |      4,475 |     36,938 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore                                                                                 |        173 |     28,972 |      3,491 |      4,475 |     36,938 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/A/Headers/6.4.0/QtCore/private                                                                         |        173 |     28,972 |      3,491 |      4,475 |     36,938 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current                                                                                                |        401 |     78,470 |      7,037 |     14,328 |     99,835 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers                                                                                        |        401 |     78,470 |      7,037 |     14,328 |     99,835 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers (Files)                                                                                |        228 |     49,498 |      3,546 |      9,853 |     62,897 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/6.4.0                                                                                  |        173 |     28,972 |      3,491 |      4,475 |     36,938 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/6.4.0/QtCore                                                                           |        173 |     28,972 |      3,491 |      4,475 |     36,938 |
| ReleaseExtras/Winnets/Frameworks/QtCore.framework/Versions/Current/Headers/6.4.0/QtCore/private                                                                   |        173 |     28,972 |      3,491 |      4,475 |     36,938 |
| Test                                                                                                                                                              |          8 |        341 |         13 |         65 |        419 |
| Utilities                                                                                                                                                         |         43 |      3,401 |        768 |        609 |      4,778 |
| Views                                                                                                                                                             |         23 |      7,951 |      3,124 |      1,393 |     12,468 |
| Winnow.xcodeproj                                                                                                                                                  |          2 |      5,323 |         14 |        164 |      5,501 |
| bat                                                                                                                                                               |          2 |          2 |         66 |          0 |         68 |
| notes                                                                                                                                                             |          2 |         20 |          1 |          7 |         28 |
| qss                                                                                                                                                               |          2 |        670 |        148 |        166 |        984 |
| translations                                                                                                                                                      |          6 |     12,261 |          0 |          6 |     12,267 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| filename                                                                                                                                                          | language      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------+------------+------------+------------+------------+
| /Users/roryhill/Projects/Winnow64/.xcode/Winnow.build/Debug/Qt Preprocess.build/Script-5E618435888B9D49F8540165.sh                                                | Shell Script  |          1 |          1 |          1 |          3 |
| /Users/roryhill/Projects/Winnow64/.xcode/Winnow.build/Debug/Qt Preprocess.build/Script-7EF0942E79C014DCEC8976BC.sh                                                | Shell Script  |          1 |          1 |          1 |          3 |
| /Users/roryhill/Projects/Winnow64/.xcode/Winnow.build/Debug/Winnow-97d0b524fb0fe6555b25b1ec40ae5095-VFS/all-product-headers.yaml                                  | YAML          |          1 |          0 |          0 |          1 |
| /Users/roryhill/Projects/Winnow64/.xcode/XCBuildData/1d5c045832dc805a1e404bb7ee5c1012.xcbuilddata/build-request.json                                              | JSON          |         57 |          0 |          0 |         57 |
| /Users/roryhill/Projects/Winnow64/.xcode/XCBuildData/1d5c045832dc805a1e404bb7ee5c1012.xcbuilddata/manifest.json                                                   | JSON          |          1 |          0 |          0 |          1 |
| /Users/roryhill/Projects/Winnow64/.xcode/XCBuildData/349fc0ab876335f35393b29d48d5eb69.xcbuilddata/build-request.json                                              | JSON          |         58 |          0 |          0 |         58 |
