HIGH SPEED READ METADATA


Starting D:\My Projects\Winnow Project\build-winnow64-Desktop_Qt_5_10_0_MSVC2017_64bit-Debug\debug\Winnow.exe...
"-4716889093103"   "MW::MW............................................"   ""
"         1"   "MW::setupPlatform................................."   ""
libpng warning: iCCP: known incorrect sRGB profile
"       475"   "MW::createCentralWidget..........................."   ""
"         0"   "MW::createFilterView.............................."   ""
"         1"   "Filters::Filters.................................."   ""
"         6"   "Filters::createPredefinedFilters.................."   ""
"         0"   "Filters::createDynamicFilters....................."   ""
"       220"   "MW::createDataModel..............................."   ""
"         0"   "Metadata::Metadata................................"   ""
"         0"   "Metadata::initExifHash............................"   ""
"         0"   "Metadata::initIfdHash............................."   ""
"         1"   "Metadata::initSupportedFiles......................"   ""
"         0"   "DataModel::DataModel.............................."   ""
"         0"   "MW::createThumbView..............................."   ""
"         0"   "ThumbView::ThumbView.............................."   ""
QFont::setPixelSize: Pixel size <= 0 (-842150451)
"         0"   "MW::createGridView................................"   ""
"         0"   "ThumbView::ThumbView.............................."   ""
QFont::setPixelSize: Pixel size <= 0 (-842150451)
"         0"   "MW::createTableView..............................."   ""
"         1"   "TableView::TableView.............................."   ""
"        14"   "TableView::createOkToShow........................."   ""
"         0"   "MW::createSelectionModel.........................."   ""
"         0"   "MW::createInfoView................................"   ""
"         0"   "InfoView::InfoView................................"   ""
"         0"   "InfoView::setupOk................................."   ""
"         2"   "MW::createCaching................................."   ""
"         0"   "MetadataCache::MetadataCache......................"   ""
"         0"   "ImageCache::ImageCache............................"   ""
"         0"   "MW::createImageView..............................."   ""
"         0"   "ImageView::ImageView.............................."   ""
"         1"   "MW::createCompareView............................."   ""
"         0"   "CompareImages::CompareImages......................"   ""
"         0"   "MW::createFSTree.................................."   ""
"         1"   "FSTree::FSTree...................................."   ""
"        36"   "MW::createBookmarks..............................."   ""
"         1"   "BookMarks::BookMarks.............................."   ""
"         0"   "MW::createDocks..................................."   ""
"        13"   "MW::createStatusBar..............................."   ""
"         1"   "MW::updateMetadataThreadRunStatus................."   ""
"         5"   "MW::updateImageThreadRunStatus...................."   ""
"         2"   "MW::inactiveThreadRunStatus......................."   ""
"         4"   "MW::createActions................................."   ""
"         2"   "MW::createMenus..................................."   ""
"         5"   "MW::handleStartupArgs............................."   ""
"         0"   "MW::loadSettings.................................."   ""
"         2"   "BookMarks::reloadBookmarks........................"   ""
"       891"   "MW::setThumbDockFeatures.........................."   ""
"         0"   "MW::loadShortcuts................................."   ""
"         2"   "MW::setupCentralWidget............................"   ""
"         4"   "MW::createAppStyle................................"   ""
"        78"   "MW::updateState..................................."   ""
"         0"   "MW::setWindowsTitleBarVisibility.................."   ""
"        47"   "MW::metadataChanged..............................."   "infoView->isNewImageDataChange = true"
"         0"   "InfoView::showOrHide.............................."   ""
"         3"   "ImageView::resizeEvent............................"   ""
"         0"   "ImageView::getFitScaleFactor......................"   ""
"         0"   "ImageView::scale.................................."   ""
"         0"   "ImageView::placeClassificationBadge..............."   ""
"         0"   "ImageView::moveShootingInfo......................."   ""
"         1"   "MW::updateStatus.................................."   ""
"         0"   "MW::metadataChanged..............................."   "infoView->isNewImageDataChange = true"
"         0"   "InfoView::showOrHide.............................."   ""
"         0"   "MW::metadataChanged..............................."   "infoView->isNewImageDataChange = true"
"         0"   "InfoView::showOrHide.............................."   ""
"         0"   "MW::metadataChanged..............................."   "infoView->isNewImageDataChange = true"
"         0"   "InfoView::showOrHide.............................."   ""
"         0"   "ImageView::placeClassificationBadge..............."   ""
"         0"   "ImageView::moveShootingInfo......................."   ""
"        22"   "MW::setMenuBarVisibility.........................."   ""
"         0"   "MW::setStatusBarVisibility........................"   ""
"         0"   "MW::setCacheStatusVisibility......................"   ""
"         0"   "MW::setFolderDockVisibility......................."   ""
"         0"   "MW::setFavDockVisibility.........................."   ""
"         0"   "MW::setFilterDockVisibility......................."   ""
"         0"   "MW::setMetadataDockVisibility....................."   ""
"         0"   "MW::setThumbDockVisibity.........................."   ""
"         0"   "MW::setFolderDockLockMode........................."   ""
"         3"   "MW::setFavDockLockMode............................"   ""
"         2"   "MW::setFilterDockLockMode........................."   ""
"         2"   "MW::setMetadataDockLockMode......................."   ""
"         1"   "MW::setThumbDockLockMode.........................."   ""
"         0"   "MW::setShootingInfoVisibility....................."   ""
"         0"   "MW::setCentralView................................"   ""
"         0"   "MW::gridDisplay..................................."   ""
"         0"   "MW::updateStatus.................................."   ""
"         0"   "MW::setThumbDockVisibity.........................."   ""
"         1"   "ThumbView::resizeEvent............................"   ""
"         0"   "ThumbView::setThumbParameters....................."   ""
"      3008"   "MW::bookmarkClicked..............................."   ""
"        31"   "\n============================================================================="   ""
"         0"   "MW::getSelectedPath..............................."   ""
"         0"   "MW::folderSelectionChange........................."   "D:/Pictures/Coaster"
"         0"   "ImageCache::stopImageCache........................"   ""
"         0"   "MetadataCache::stopMetadateCache.................."   ""
"         0"   "MW::updateStatus.................................."   ""
"         9"   "MW::inactiveThreadRunStatus......................."   ""
"         1"   "MW::getSelectedPath..............................."   ""
"         0"   "MW::addRecentFolder..............................."   ""
"         0"   "DataModel::load..................................."   ""
"         0"   "Filters::removeChildrenDynamicFilters............."   ""
"         3"   "DataModel::addFileData............................"   ""
"         8"   "Filters::addCategoryFromData......................"   ""
"         0"   "ThumbView::selectThumb............................"   ""
"         1"   "\n-----------------------------------------------------------------------------"   ""
"         0"   "MW::fileSelectionChange..........................."   "D:/Pictures/Coaster/2005-10-11_0082.jpg"
"         0"   "ThumbView::selectThumb............................"   ""
"         0"   "ThumbView::sortThumbs............................."   ""
"         0"   "MW::updateStatus.................................."   ""
"         0"   "ThumbView::getCurrentFilename....................."   ""
"         0"   "MetadataCache::loadMetadataCache.................."   ""
"         0"   "MetadataCache::createLoadMap......................"   ""
"         0"   "MetadataCache::createCacheStatus.................."   ""
QPainter::begin: Paint device returned engine == 0, type: 3
"         0"   "MW::showMetadataCacheStatus......................."   ""
"         0"   "MW::showMetadataCacheStatus......................."   "Completed"
"         0"   "MW::memoryReqdForPicks............................"   ""
"         0"   "MW::updateStatus.................................."   ""
"         0"   "ThumbView::getCurrentFilename....................."   ""
"         0"   "MetadataCache::run................................"   ""
"         0"   "MW::getPosition..................................."   ""
"         0"   "MetadataCache::run................................"   "try loadMetadata"
"         0"   "MW::getPicked....................................."   ""
"         0"   "MetadataCache::loadMetadata......................."   ""
"         0"   "Metadata::isLoaded................................"   ""
"         0"   "MW::getPosition..................................."   ""
"         0"   "MetadataCache::loadMetadata......................."   "Attempting to load metadata for row 1 D:/Pictures/Coaster/2005-10-11_0082.jpg"
"         0"   "MW::metadataChanged..............................."   "infoView->isNewImageDataChange = true"
"         0"   "Metadata::loadImageMetadata......................."   ""
"         0"   "InfoView::showOrHide.............................."   ""
"         0"   "Metadata::readMetadata............................"   ""
"         0"   "Metadata::clearMetadata..........................."   ""
"         0"   "MW::getZoom......................................."   ""
"         0"   "MW::getPicked....................................."   ""
"         0"   "Metadata::formatJPG..............................."   ""
"         0"   "MW::metadataChanged..............................."   "infoView->isNewImageDataChange = true"
"         0"   "InfoView::showOrHide.............................."   ""
"         0"   "MetadataCache::loadMetadata......................."   "Loaded metadata for row 1 D:/Pictures/Coaster/2005-10-11_0082.jpg"
"         0"   "Thumb::loadThumb.................................."   ""
"         0"   "Metadata::getOffsetThumbJPG......................."   ""
"         0"   "Metadata::getLengthThumbJPG......................."   ""
"         0"   "Metadata::isLoaded................................"   ""
"         0"   "Thumb::loadFromData..............................."   "D:/Pictures/Coaster/2005-10-11_0082.jpg"
"         1"   "Metadata::getOffsetThumbJPG......................."   ""
"         0"   "Metadata::getLengthThumbJPG......................."   ""
"         0"   "Thumb::loadFromData..............................."   "File size = 1516096 Offset embedded thumb = 1640 Length embedded thumb = 20563"
"         4"   "Thumb::checkOrientation..........................."   ""
"         0"   "Metadata::getOrientation.........................."   ""
"         0"   "MetadataCache::loadMetadata......................."   "Thumb obtained for row 1 D:/Pictures/Coaster/2005-10-11_0082.jpg Next emit setIcon"
"         0"   "MetadataCache::updateCacheStatus.................."   "row = 0"
"         0"   "MetadataCache::updateCacheStatus.................."   "Emitting row = 0"
"         0"   "Metadata::isLoaded................................"   ""
"         0"   "MetadataCache::loadMetadata......................."   "Attempting to load metadata for row 2 D:/Pictures/Coaster/2005-10-11_0090.jpg"
"         0"   "Metadata::loadImageMetadata......................."   ""
"         0"   "Metadata::readMetadata............................"   ""
"         0"   "Metadata::clearMetadata..........................."   ""
"         0"   "Metadata::formatJPG..............................."   ""
"         0"   "MetadataCache::loadMetadata......................."   "Loaded metadata for row 2 D:/Pictures/Coaster/2005-10-11_0090.jpg"
"         0"   "Thumb::loadThumb.................................."   ""
"         0"   "Metadata::getOffsetThumbJPG......................."   ""
"         0"   "Metadata::getLengthThumbJPG......................."   ""
"         0"   "Metadata::isLoaded................................"   ""
"         0"   "Thumb::loadFromData..............................."   "D:/Pictures/Coaster/2005-10-11_0090.jpg"
"         0"   "Metadata::getOffsetThumbJPG......................."   ""
"         0"   "Metadata::getLengthThumbJPG......................."   ""
"         0"   "Thumb::loadFromData..............................."   "File size = 1291501 Offset embedded thumb = 1638 Length embedded thumb = 25034"
"         3"   "Thumb::checkOrientation..........................."   ""
"         0"   "Metadata::getOrientation.........................."   ""
"         0"   "MetadataCache::loadMetadata......................."   "Thumb obtained for row 2 D:/Pictures/Coaster/2005-10-11_0090.jpg Next emit setIcon"
"         0"   "MetadataCache::updateCacheStatus.................."   "row = 1"
"         0"   "MetadataCache::updateCacheStatus.................."   "Emitting row = 1"
"         0"   "Metadata::isLoaded................................"   ""
"         0"   "MetadataCache::loadMetadata......................."   "Attempting to load metadata for row 3 D:/Pictures/Coaster/2006-04-27_0031.jpg"
"         0"   "Metadata::loadImageMetadata......................."   ""
"         0"   "Metadata::readMetadata............................"   ""
"         0"   "Metadata::clearMetadata..........................."   ""
"         0"   "Metadata::formatJPG..............................."   ""
"         0"   "MetadataCache::loadMetadata......................."   "Loaded metadata for row 3 D:/Pictures/Coaster/2006-04-27_0031.jpg"
"         0"   "Thumb::loadThumb.................................."   ""
"         0"   "Metadata::getOffsetThumbJPG......................."   ""
"         0"   "Metadata::getLengthThumbJPG......................."   ""
"         0"   "Metadata::isLoaded................................"   ""
"         0"   "Thumb::loadFromData..............................."   "D:/Pictures/Coaster/2006-04-27_0031.jpg"
"         0"   "Metadata::getOffsetThumbJPG......................."   ""
"         0"   "Metadata::getLengthThumbJPG......................."   ""
"         0"   "Thumb::loadFromData..............................."   "File size = 671789 Offset embedded thumb = 1664 Length embedded thumb = 12444"
"         2"   "Thumb::checkOrientation..........................."   ""
"         0"   "Metadata::getOrientation.........................."   ""
"         0"   "MetadataCache::loadMetadata......................."   "Thumb obtained for row 3 D:/Pictures/Coaster/2006-04-27_0031.jpg Next emit setIcon"
"         0"   "MetadataCache::updateCacheStatus.................."   "row = 2"
"         0"   "MetadataCache::updateCacheStatus.................."   "Emitting row = 2"
"         0"   "Metadata::isLoaded................................"   ""
"         0"   "MetadataCache::loadMetadata......................."   "Attempting to load metadata for row 4 D:/Pictures/Coaster/2006-04-27_0058.jpg"
"         0"   "Metadata::loadImageMetadata......................."   ""
"         0"   "Metadata::readMetadata............................"   ""
"         0"   "Metadata::clearMetadata..........................."   ""
"         0"   "Metadata::formatJPG..............................."   ""
"         0"   "MetadataCache::loadMetadata......................."   "Loaded metadata for row 4 D:/Pictures/Coaster/2006-04-27_0058.jpg"
"         0"   "Thumb::loadThumb.................................."   ""
"         0"   "Metadata::getOffsetThumbJPG......................."   ""
"         0"   "Metadata::getLengthThumbJPG......................."   ""
"         0"   "Metadata::isLoaded................................"   ""
"         0"   "Thumb::loadFromData..............................."   "D:/Pictures/Coaster/2006-04-27_0058.jpg"
"         0"   "Metadata::getOffsetThumbJPG......................."   ""
"         0"   "Metadata::getLengthThumbJPG......................."   ""
